Model,Adipose,Adrenal,Artery,Brain,Esophagus,Heart,Immune,Intestine,Kidney,Liver,Lung,Muscle,Pancreas,Pituitary,Salivary,Skin,Stomach,Thyroid,Conventional
Intercept,57.10442,57.21989,57.33417,57.01873,57.2452,57.36057,57.69161,57.38158,57.10864,57.606,57.22967,57.2002,56.84863,56.09388,57.2117,57.33395,56.90615,57.24755,57.12294
A1BG,0,0,0,0,0,0,0,0,0,4.596224754,0,0,0,0,0,0,0,0,0.008093934
AAMDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05344327
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1270996
ABCA2,0,0,0,0.6053625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617389
ABL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02917698
ABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05339144
ABRAXAS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008082446
ACAA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006922454
ACADM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003276113
ACADSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07597791
ACAN,0,0,-1.088481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01036846
ACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2161556
ACOT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01062297
ACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05019395
ACP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1720657
ACP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04224378
ACRBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08144679
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2264293
ACSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357706
ACTN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01849473
ACTN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04397869
ACVRL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0864743
ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1233502
ACY3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACYP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07848809
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2196438
ADA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3065286
ADAM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1160773
ADAM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM22,0,0,0,1.2619165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1821355
ADAM23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01300619
ADAM8,0,0,0,0,0,0,-0.4157158,0,0,0,0,0,0,0,0,0,0,0,0
ADAM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06250288
ADAMTS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05056292
ADAMTS13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2828465
ADAMTS15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2798625
ADAMTS16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3462202
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2227125
ADAMTS8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009897614
ADAMTSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2456753
ADAMTSL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09206271
ADAMTSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238625
ADCYAP1R1,0,0,0,-0.41491546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07882777
ADD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01178137
ADGRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01648189
ADGRE1,0,0,0,0,0,0,-0.6248129,0,0,0,0,0,0,0,0,0,0,0,0.1055759
ADGRE2,0,0,0,0,0,0,4.5629617,0,0,0,0,0,0,0,0,0,0,0,0.3367683
ADGRE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1681445
ADGRF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1867499
ADGRG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2725685
ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05147784
ADH1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08010158
ADH4,0,0,0,0,0,0,0,0,0,0.4000387,0,0,0,0,0,0,0,0,0.101759
ADIPOQ,1.277740457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004531949
ADM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2592172
ADRA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02396714
AFM,0,0,0,0,0,0,0,0,0,4.20344902,0,0,0,0,0,0,0,0,0.09843452
AFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3711556
AGBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01358798
AGER,0,0,0,0,0,0,0,0,0,0,-1.073441,0,0,0,0,0,0,0,-0.4582558
AGR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00576096
AGR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005936388
AGRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09441296
AGRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6419394
AGT,0,0,0,0,0,0,0,0,0,-0.10218328,0,0,0,0,0,0,0,0,0.06113032
AGXT,0,0,0,0,0,0,0,0,0,-0.56459123,0,0,0,0,0,0,0,0,-0.03158937
AHCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07471538
AHNAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHNAK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0788831
AHSA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003327188
AHSG,0,0,0,0,0,0,0,0,0,-2.0258684,0,0,0,0,0,0,0,0,-0.0334886
AHSP,0,0,0,0,0,0,0.1227314,0,0,0,0,0,0,0,0,0,0,0,0
AIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05275757
AIF1,0,0,0,0,0,0,0.21008397,0,0,0,0,0,0,0,0,0,0,0,0.01559458
AIF1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01137236
AIFM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05678006
AK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02370237
AK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06388273
AKAP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07263281
AKR1B1,0,-0.18739964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02091845
AKR1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000764625
AKR1C4,0,0,0,0,0,0,0,0,0,-0.06315569,0,0,0,0,0,0,0,0,0
AKR7L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04558259
AKT1S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05892699
AKT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517178
AKT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07600619
ALCAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1796608
ALDH1A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH3A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH5A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02800662
ALMS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002901551
ALPI,0,0,0,0,0,0,0,-0.11973475,0,0,0,0,0,0,0,0,0,0,0.02237255
ALPP,0,0,0,0,0,0,0,0,0,0,-0.131233637,0,0,0,0,0,0,0,0.006659215
AMBN,0,0,0,-0.4520493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBP,0,0,0,0,0,0,0,0,0,4.68980673,0,0,0,0,0,0,0,0,-0.06757193
AMDHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1997511
AMFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04198724
AMIGO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0974268
AMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09056608
